indice_cliente,media_movel
546.0,8.771688906384105
547.0,8.771907962197115
548.0,8.77169818132966
549.0,8.771201962424508
550.0,8.771645165906582
551.0,8.772575698850986
552.0,8.773667160205099
553.0,8.774809245339616
554.0,8.77575199617437
555.0,8.77701400659927
556.0,8.778504281839846
557.0,8.780128612227921
558.0,8.781771395940476
559.0,8.783594852889568
560.0,8.785120719826434
561.0,8.78686191797059
562.0,8.7877366159654
563.0,8.788272471792947
564.0,8.788200476272518
565.0,8.788678283276832
566.0,8.788572200175706
567.0,8.788582953806454
568.0,8.78903194271396
569.0,8.78957733120736
570.0,8.79052916097286
571.0,8.790850094693658
572.0,8.791871274280131
573.0,8.792773929156748
574.0,8.793984766989825
575.0,8.795004626818473
576.0,8.796447918586784
577.0,8.797369566327001
578.0,8.797332378190681
579.0,8.79732064917812
580.0,8.797666974446328
581.0,8.798005516959707
582.0,8.79704452305768
583.0,8.796048827429575
584.0,8.794873941798487
585.0,8.79462102450537
586.0,8.794048200467433
587.0,8.793605241815877
588.0,8.792491998566447
589.0,8.790939289524694
590.0,8.788973406007763
591.0,8.78705548710377
592.0,8.785758087498373
593.0,8.783856123718119
594.0,8.781476458771916
595.0,8.778956099020295
596.0,8.776277263010034
597.0,8.773721207879001
598.0,8.771357492534749
599.0,8.768975513050071
600.0,8.76684048211096
601.0,8.764386383991031
602.0,8.761935500927382
603.0,8.759474517579298
604.0,8.757205846796738
605.0,8.755269417447236
606.0,8.753879324825967
607.0,8.752134711672767
608.0,8.750417669322488
609.0,8.74917767191283
610.0,8.747932179769643
611.0,8.747211682800284
612.0,8.746080700582958
613.0,8.74488152924832
614.0,8.74392178232988
615.0,8.743565550065261
616.0,8.742661499234815
617.0,8.741179790427509
618.0,8.73991176198043
619.0,8.738317515011508
620.0,8.737066912197298
621.0,8.73642677264061
622.0,8.736251162964116
623.0,8.736437877314334
624.0,8.73627296706294
625.0,8.735762600978921
626.0,8.735453210846783
627.0,8.734795830633756
628.0,8.733935377529484
629.0,8.732675228540678
630.0,8.732301605004185
631.0,8.732164318558159
632.0,8.731351131987967
633.0,8.729226083228385
634.0,8.727349823499484
635.0,8.725288663236913
636.0,8.723229163802669
637.0,8.720760266685621
638.0,8.71820529636695
639.0,8.715779368063245
640.0,8.713192398277286
641.0,8.70962350504071
642.0,8.707000815367037
643.0,8.703976423121942
644.0,8.70092162318798
645.0,8.697247042137983
646.0,8.693380663451656
647.0,8.689891229175885
648.0,8.686965481315037
649.0,8.68377353586971
650.0,8.68001847840241
651.0,8.675571534919685
652.0,8.671258155104514
653.0,8.667543511192804
654.0,8.664354571501178
655.0,8.661202094150566
656.0,8.658793030022041
657.0,8.65658061826585
658.0,8.654586268959164
659.0,8.652623177037457
660.0,8.6503438389801
661.0,8.648407543958035
662.0,8.646207892425096
663.0,8.643208855866906
664.0,8.63875804155111
665.0,8.633517379817437
666.0,8.628086018057312
667.0,8.623838911267134
668.0,8.619565052658624
669.0,8.61620234817776
670.0,8.612338179291706
671.0,8.6093585347301
672.0,8.60649492071849
673.0,8.604033745003273
674.0,8.601808630600873
